# fourth-arm-bands.txt — the bands proven to cross four-way on the emitted
# fourth kernel (fkwu, the universal walker). One row per band:
#
#   <band-stem> <table-emitter> <expected-verdict>
#
# table-emitter names the flattener door the band's table file comes through:
#   fkc — fkc-table-file (flt-band-sources-fns ...)                       no string pool
#   fks — fks-table-file (flt-band-sources-fns ...) (flt-band-sources-pool ...)   string pool
#
# The source list is fourth-shim.fk first (core mirrors + string stones as
# function rows), then every non-core `; preludes:` module in declared
# order (BML-dialect sources ride the source-compiler), then the band file
# (same-name convention form-stdlib/<stem>.fk when no prelude is declared).
# Provenance: every row is gated four-way by validate.sh itself on every
# suite run — the fourth leg's verdict must equal the three walkers' byte
# for byte; scripts/hati_os_kernel_audit.sh sections 19/22/24/25/26 carry
# the milestone proofs the first rows crossed through. A band leaves this
# file only when its source moves outside the walker's op families.
#
# The standing walls (what keeps a band out today, by blocked-band count):
#   node/substrate family — bp, intern_*, node_* (the content-addressed
#     lattice as program vocabulary; floats ride in with it)
#   host io family        — read_file, write_file_text, file_mtime, scan_run
#   higher-order calls    — foldl/map/filter with function arguments
#     (wants defunctionalization: monomorphic copies per call site)
#   multi-line output     — bands that print mid-walk (the walker answers
#     one value through fk_pr)
#
# Current floor (2026-06-13 diagnostic ratchet): full `cd form && ./validate.sh`
# reaches 96 four-way bands and 532 total passing workloads, with 9 residual
# divergent bands. North star: every stdlib band is either listed here and
# validated four-way, or its 3-kernel-only blocker is explicitly named in
# commit evidence. Next walk: the JIT tag-map/lowering cluster, then the
# markdown/yaml/typescript source-ingestion cluster.
learning-trend fkc 127
cooldown fkc 63
alert-gate fkc 127
value-execution fkc 7
anomaly-band fkc 127
body-state fkc 127
field-fusion fkc 127
histogram-peak fkc 127
model-retire fkc 63
signal-derivative fkc 127
feature-vector fkc 127
active-inference fks 127
branch-choice-order fks 511
cell-sync fks 127
chakra-column fks 127
champion-challenger fks 127
classifier-eval fks 63
confidence-calibrate fks 127
confidence-weighted-vote fks 127
device-heartbeat fks 127
drift-detect fks 63
ensemble-vote fks 127
friend-node fks 127
learned-primitive fks 255
markov-2 fks 127
mesh-gradient fks 127
mesh-relay fks 127
nearest-shape fks 127
novelty fks 63
online-accuracy fks 63
predictor-train fks 63
prototype-merge fks 127
provisioning fks 127
recognition-router fks 127
recognition-router-compute fks 63
recognition-router-vision fks 31
self-grounding-classifier fks 63
sequence-predictor fks 127
shared-sensing fks 127
surprise-salience fks 127
temporal-smoothing fks 63
declared-source fks 127
transition-detect fks 127
warm-start fks 127
adler32 fks 5
crc32 fks 4
slice-merge fks 127
rle fks 12
base64 fks 12
bidirectional-flow fks 111111
bloom fks 4
co-learning fks 127
co-learning-stream fks 127
coherence fks 111111
colearning-retire fks 127
compression-fold fks 111111
conversation-cell fks 127
conversation-context fks 127
evidence-grounding fks 127
forget-stale fks 127
form-asm fks 31
form-constants fks 111111
form-diagnose fks 31
form-debug fks 31
form-lower fks 31
form-lower-rec fks 31
form-mut fks 31
form-spy fks 31
gematria fks 11111
go-jit fks 5
go-jit-value-list fks 4
harmonic-geometry fks 111111
heartbeat fks 5
hmac-sha256 fks 2
int-literal-width fks 9
jit-coverage fks 5
jit-metal-lanes fks 4095
jit-oracle-learning fks 1023
learning-arc fks 127
living-equation fks 111111
mesh-health fks 127
mesh-merge-converge fks 127
perception-pipeline fks 127
predictor-sampling fks 127
rate-limit fks 6
sanskrit-roots fks 111111
satsang fks 127
sha256 fks 2
shamballa-codes fks 11111
shamballa-light-codes fks 111111
silence-floor fks 31
slice-update-roundtrip fks 127
string-membership fks 9
theme-resonance fks 111111
trust-decay fks 127
trust-weighted-colearning fks 127
turn-taking fks 127
ulid fks 4
witness-theorem fks 31
witness-to-co-regulate fks 127

# ── records lane — read-only RECORD family as ARENA TISSUE (zero new tags) ──
# record_new lowers (form-flatten.fk special form, blueprint discarded) to a
# cons-chain of (list key val) entries; record_get (fourth-shim.fk) walks the
# chain by interned-key match. Records reuse the arena arms (18..23) + the
# string-pool lane — no new walker tags claimed (66..69 stay free). The
# record-fold band proves the integer-field, identity-free half of the
# API_KERNEL_READINESS record gate: construction, field read at distinct keys,
# a fold over a LIST of records, a field predicate, the empty-fold identity.
# The float-field record bands (grounded-cost-*, list-of-record-reduction,
# record-field-access) wait on the float lane; the mutable-aliasing +
# blueprint bands (record, method) wait on the mutable-cell + method lanes.
record-fold fks 31
